U.S. Gulf Coast Ultra-Low Sulfur No 2 Diesel Spot Price
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=EER_EPD2DXL0_PF4_RGC_DPG&f=D
12:41:07 GMT-0600 (Central Standard Time)
Source: U.S. Energy Information Administration
Day,U.S. Gulf Coast Ultra-Low Sulfur No 2 Diesel Spot Price Dollars per Gallon
02/20/2018,1.884
02/19/2018,1.868
02/16/2018,1.868
02/15/2018,1.852
02/14/2018,1.847
02/13/2018,1.797
02/12/2018,1.801
02/9/2018,1.815
02/8/2018,1.866
02/7/2018,1.882
02/6/2018,1.94
02/5/2018,1.962
02/2/2018,1.992
02/1/2018,2.044
01/31/2018,2.016
01/30/2018,2.011
01/29/2018,2.047
01/26/2018,2.08
01/25/2018,2.048
01/24/2018,2.052
01/23/2018,2.033
01/22/2018,1.995
01/19/2018,1.934
01/18/2018,1.98
01/17/2018,1.971
01/16/2018,1.962
01/12/2018,1.984
01/11/2018,2.073
01/10/2018,1.985
01/9/2018,1.976
01/8/2018,1.957
01/5/2018,1.969
01/4/2018,1.955
01/3/2018,1.97
01/2/2018,1.965
12/29/2017,1.966
12/28/2017,1.961
12/27/2017,1.941
12/26/2017,1.955
12/22/2017,1.883
12/21/2017,1.861
12/20/2017,1.857
12/19/2017,1.85
12/18/2017,1.843
12/15/2017,1.823
12/14/2017,1.83
12/13/2017,1.836
12/12/2017,1.864
12/11/2017,1.875
12/8/2017,1.854
12/7/2017,1.816
12/6/2017,1.785
12/5/2017,1.84
12/4/2017,1.821
12/1/2017,1.865
11/30/2017,1.819
11/29/2017,1.847
11/28/2017,1.884
11/27/2017,1.871
11/24/2017,1.876
11/23/2017,1.854
11/22/2017,1.854
11/21/2017,1.855
11/20/2017,1.857
11/17/2017,1.857
11/16/2017,1.834
11/15/2017,1.836
11/14/2017,1.826
11/13/2017,1.862
11/10/2017,1.868
11/9/2017,1.884
11/8/2017,1.855
11/7/2017,1.859
11/6/2017,1.876
11/3/2017,1.831
11/2/2017,1.808
11/1/2017,1.808
10/31/2017,1.826
10/30/2017,1.828
10/27/2017,1.826
10/26/2017,1.801
10/25/2017,1.77
10/24/2017,1.775
10/23/2017,1.739
10/20/2017,1.758
10/19/2017,1.731
10/18/2017,1.763
10/17/2017,1.768
10/16/2017,1.768
10/13/2017,1.752
10/12/2017,1.722
10/11/2017,1.74
10/10/2017,1.724
10/9/2017,1.693
10/6/2017,1.713
10/5/2017,1.752
10/4/2017,1.736
10/3/2017,1.714
10/2/2017,1.725
09/29/2017,1.768
09/28/2017,1.785
09/27/2017,1.787
09/26/2017,1.794
09/25/2017,1.814
09/22/2017,1.772
09/21/2017,1.775
09/20/2017,1.765
09/19/2017,1.74
09/18/2017,1.748
09/15/2017,1.764
09/14/2017,1.774
09/13/2017,1.75
09/12/2017,1.748
09/11/2017,1.747
09/8/2017,1.82
09/7/2017,1.827
09/6/2017,1.815
09/5/2017,1.773
09/1/2017,1.772
08/31/2017,1.755
08/30/2017,1.655
08/29/2017,1.641
08/28/2017,1.611
08/25/2017,1.594
08/24/2017,1.599
08/23/2017,1.596
08/22/2017,1.557
08/21/2017,1.538
08/18/2017,1.589
08/17/2017,1.548
08/16/2017,1.541
08/15/2017,1.565
08/14/2017,1.566
08/11/2017,1.596
08/10/2017,1.594
08/9/2017,1.62
08/8/2017,1.593
08/7/2017,1.605
08/4/2017,1.613
08/3/2017,1.606
08/2/2017,1.621
08/1/2017,1.612
07/31/2017,1.633
07/28/2017,1.606
07/27/2017,1.573
07/26/2017,1.563
07/25/2017,1.53
07/24/2017,1.482
07/21/2017,1.48
07/20/2017,1.511
07/19/2017,1.517
07/18/2017,1.472
07/17/2017,1.46
07/14/2017,1.479
07/13/2017,1.451
07/12/2017,1.435
07/11/2017,1.439
07/10/2017,1.407
07/7/2017,1.408
07/6/2017,1.435
07/5/2017,1.434
06/30/2017,1.447
06/29/2017,1.408
06/28/2017,1.404
06/27/2017,1.379
06/26/2017,1.339
06/23/2017,1.331
06/22/2017,1.335
06/21/2017,1.326
06/20/2017,1.361
06/19/2017,1.369
06/16/2017,1.39
06/15/2017,1.369
06/14/2017,1.369
06/13/2017,1.406
06/12/2017,1.381
06/9/2017,1.389
06/8/2017,1.38
06/7/2017,1.381
06/6/2017,1.422
06/5/2017,1.416
06/2/2017,1.441
06/1/2017,1.452
05/31/2017,1.477
05/30/2017,1.514
05/29/2017,1.526
05/26/2017,1.526
05/25/2017,1.512
05/24/2017,1.571
05/23/2017,1.575
05/22/2017,1.564
05/19/2017,1.547
05/18/2017,1.508
05/17/2017,1.497
05/16/2017,1.48
05/15/2017,1.469
05/12/2017,1.456
05/11/2017,1.456
05/10/2017,1.442
05/9/2017,1.407
05/8/2017,1.422
05/5/2017,1.413
05/4/2017,1.379
05/3/2017,1.437
05/2/2017,1.441
05/1/2017,1.458
04/28/2017,1.475
04/27/2017,1.488
04/26/2017,1.505
04/25/2017,1.525
04/24/2017,1.519
04/21/2017,1.53
04/20/2017,1.547
04/19/2017,1.554
04/18/2017,1.594
04/17/2017,1.601
04/14/2017,1.614
04/13/2017,1.614
04/12/2017,1.601
04/11/2017,1.616
04/10/2017,1.613
04/7/2017,1.593
04/6/2017,1.575
04/5/2017,1.536
04/4/2017,1.535
04/3/2017,1.526
03/31/2017,1.543
03/30/2017,1.528
03/29/2017,1.51
03/28/2017,1.488
03/27/2017,1.469
03/24/2017,1.473
03/23/2017,1.455
03/22/2017,1.465
03/21/2017,1.471
03/20/2017,1.483
03/17/2017,1.477
03/16/2017,1.467
03/15/2017,1.479
03/14/2017,1.458
03/13/2017,1.458
03/10/2017,1.464
03/9/2017,1.495
03/8/2017,1.527
03/7/2017,1.577
03/6/2017,1.571
03/3/2017,1.556
03/2/2017,1.544
03/1/2017,1.587
02/28/2017,1.6
02/27/2017,1.614
02/24/2017,1.606
02/23/2017,1.624
02/22/2017,1.599
02/21/2017,1.614
02/20/2017,1.611
02/17/2017,1.611
02/16/2017,1.593
02/15/2017,1.595
02/14/2017,1.597
02/13/2017,1.589
02/10/2017,1.632
02/9/2017,1.609
02/8/2017,1.602
02/7/2017,1.585
02/6/2017,1.6
02/3/2017,1.625
02/2/2017,1.62
02/1/2017,1.631
01/31/2017,1.595
01/30/2017,1.581
01/27/2017,1.58
01/26/2017,1.599
01/25/2017,1.573
01/24/2017,1.579
01/23/2017,1.576
01/20/2017,1.571
01/19/2017,1.556
01/18/2017,1.554
01/17/2017,1.588
01/16/2017,1.594
01/13/2017,1.594
01/12/2017,1.619
01/11/2017,1.594
01/10/2017,1.548
01/9/2017,1.573
01/6/2017,1.632
01/5/2017,1.631
01/4/2017,1.624
01/3/2017,1.618
01/2/2017,1.662
12/30/2016,1.662
12/29/2016,1.655
12/28/2016,1.643
12/27/2016,1.646
12/26/2016,1.632
12/23/2016,1.632
12/22/2016,1.606
12/21/2016,1.59
12/20/2016,1.619
12/19/2016,1.611
12/16/2016,1.618
12/15/2016,1.58
12/14/2016,1.579
12/13/2016,1.575
12/12/2016,1.572
12/9/2016,1.541
12/8/2016,1.538
12/7/2016,1.526
12/6/2016,1.544
12/5/2016,1.568
12/2/2016,1.592
12/1/2016,1.579
11/30/2016,1.518
11/29/2016,1.425
11/28/2016,1.466
11/25/2016,1.475
11/24/2016,1.475
11/23/2016,1.475
11/22/2016,1.482
11/21/2016,1.484
11/18/2016,1.415
11/17/2016,1.406
11/16/2016,1.401
11/15/2016,1.417
11/14/2016,1.344
11/11/2016,1.353
11/10/2016,1.385
11/9/2016,1.404
11/8/2016,1.385
11/7/2016,1.395
11/4/2016,1.381
11/3/2016,1.414
11/2/2016,1.414
11/1/2016,1.475
10/31/2016,1.464
10/28/2016,1.518
10/27/2016,1.544
10/26/2016,1.532
10/25/2016,1.54
10/24/2016,1.56
10/21/2016,1.55
10/20/2016,1.533
10/19/2016,1.557
10/18/2016,1.544
10/17/2016,1.532
10/14/2016,1.545
10/13/2016,1.553
10/12/2016,1.543
10/11/2016,1.565
10/10/2016,1.553
10/7/2016,1.553
10/6/2016,1.577
10/5/2016,1.575
10/4/2016,1.552
10/3/2016,1.538
09/30/2016,1.515
09/29/2016,1.522
09/28/2016,1.454
09/27/2016,1.381
09/26/2016,1.418
09/23/2016,1.384
09/22/2016,1.417
09/21/2016,1.397
09/20/2016,1.353
09/19/2016,1.351
09/16/2016,1.373
09/15/2016,1.384
09/14/2016,1.346
09/13/2016,1.383
09/12/2016,1.402
09/9/2016,1.429
09/8/2016,1.44
09/7/2016,1.394
09/6/2016,1.378
09/5/2016,1.365
09/2/2016,1.365
09/1/2016,1.346
08/31/2016,1.402
08/30/2016,1.462
08/29/2016,1.465
08/26/2016,1.478
08/25/2016,1.494
08/24/2016,1.47
08/23/2016,1.478
08/22/2016,1.459
08/19/2016,1.487
08/18/2016,1.496
08/17/2016,1.461
08/16/2016,1.425
08/15/2016,1.411
08/12/2016,1.374
08/11/2016,1.341
08/10/2016,1.267
08/9/2016,1.279
08/8/2016,1.293
08/5/2016,1.274
08/4/2016,1.275
08/3/2016,1.234
08/2/2016,1.201
08/1/2016,1.2
07/29/2016,1.237
07/28/2016,1.227
07/27/2016,1.251
07/26/2016,1.269
07/25/2016,1.27
07/22/2016,1.303
07/21/2016,1.31
07/20/2016,1.348
07/19/2016,1.325
07/18/2016,1.322
07/15/2016,1.338
07/14/2016,1.346
07/13/2016,1.342
07/12/2016,1.413
07/11/2016,1.372
07/8/2016,1.372
07/7/2016,1.369
07/6/2016,1.431
07/5/2016,1.411
07/4/2016,1.476
07/1/2016,1.476
06/30/2016,1.456
06/29/2016,1.501
06/28/2016,1.438
06/27/2016,1.401
